countryName,ladderScore,GDP,socialSupport,healthyLifeExpectancy,lifeChoices,generosity,perceptionsofCorruption,dystopia
Kazakhstan,6.378,1.586,1.688,0.504,0.878,0.111,0.118,1.492
Guatemala,6.362,1.249,1.330,0.376,0.882,0.075,0.085,2.365
Chile,6.361,1.537,1.577,0.711,0.779,0.093,0.085,1.579
Viet Nam,6.352,1.278,1.533,0.631,1.012,0.039,0.174,1.684
Nicaragua,6.330,1.084,1.470,0.646,0.912,0.103,0.271,1.844
Malta,6.316,1.760,1.671,0.837,0.837,0.217,0.115,0.879
Thailand,6.222,1.426,1.551,0.633,0.927,0.223,0.039,1.423
Slovakia,6.221,1.629,1.762,0.547,0.704,0.058,0.070,1.451
Latvia,6.207,1.619,1.711,0.503,0.789,0.108,0.082,1.396
Oman,6.197,1.603,1.411,0.500,0.930,0.142,,
Uzbekistan,6.193,1.179,1.615,0.654,0.977,0.195,0.208,1.364
Paraguay,6.172,1.329,1.615,0.291,0.921,0.097,0.063,1.857
Japan,6.147,1.678,1.550,0.921,0.746,0.014,0.200,1.038
Bosnia and Herzegovina,6.136,1.405,1.545,0.616,0.749,0.178,0.009,1.635
Philippines,6.107,1.177,1.385,0.315,0.966,0.075,0.110,2.079
Republic of Korea,6.038,1.709,1.357,0.903,0.678,0.100,0.139,1.152
Bahrain,6.030,1.752,1.391,0.609,0.907,0.148,0.167,1.057
Portugal,6.013,1.646,1.560,0.822,0.879,0.040,0.034,1.032
Colombia,6.004,1.380,1.513,0.587,0.777,0.039,0.051,1.658
Ecuador,5.965,1.299,1.320,0.702,0.712,0.058,0.066,1.808
Honduras,5.964,1.036,1.187,0.436,0.862,0.134,0.079,2.229
Malaysia,5.955,1.571,1.315,0.446,0.991,0.181,0.110,1.341
Peru,5.947,1.323,1.364,0.551,0.710,0.050,0.021,1.929
Russian Federation,5.945,1.630,1.549,0.470,0.702,0.095,0.125,1.373
Cyprus,5.942,1.720,1.348,0.840,0.612,0.108,0.041,1.273
China,5.921,1.445,1.307,0.789,0.764,0.079,0.154,1.382
Hungary,5.915,1.638,1.742,0.587,0.681,0.099,0.057,1.111
Trinidad and Tobago,5.905,1.549,1.532,0.419,0.760,0.111,0.001,1.533
Montenegro,5.877,1.507,1.551,0.618,0.768,0.075,0.138,1.220
Croatia,5.870,1.644,1.673,0.669,0.478,0.022,0.065,1.319
Jamaica,5.870,1.182,1.545,0.504,0.869,0.075,0.019,1.676
Bolivia,5.868,1.173,1.356,0.346,0.817,0.067,0.052,2.057
Kyrgyzstan,5.858,1.032,1.715,0.647,0.981,0.169,0.053,1.261
Dominican Republic,5.846,1.457,1.500,0.615,0.866,0.063,0.186,1.160
Mongolia,5.833,1.336,1.731,0.423,0.629,0.180,0.053,1.481
Mauritius,5.832,1.499,1.521,0.617,0.761,0.095,0.130,1.209
Libya,5.820,1.247,1.309,0.549,0.724,0.111,0.214,1.666
Republic of Moldova,5.819,1.332,1.430,0.414,0.830,0.054,0.037,1.722
Greece,5.776,1.608,1.438,0.725,0.396,0.003,0.063,1.543
Venezuela,5.683,0.000,1.493,0.515,0.702,0.154,0.117,2.701
Indonesia,5.617,1.288,1.372,0.454,0.918,0.323,0.044,1.218
Algeria,5.571,1.315,1.363,0.782,0.522,0.057,0.219,1.313
